Michael Jordan
,,Year No.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,Games Played,82,18,82,82,82,82,82,80,78,17,82,82,82,60,82
,,PPG,28.2,22.7,37.1,35,32.5,33.6,31.5,30.1,32.6,26.9,30.4,29.6,28.7,22.9,20
,,RPG,6.5,3.6,5.2,5.5,8,6.9,6,6.4,6.7,6.9,6.6,5.9,5.8,5.7,6.1
,,APG,5.9,2.9,4.6,5.9,8,6.3,5.5,6.1,5.5,5.3,4.3,4.3,3.5,5.2,3.8
,,SPG,2.4,2.1,2.9,3.2,2.9,2.8,2.7,2.3,2.8,1.8,2.2,1.7,1.7,1.4,1.5
,,BPG,0.8,1.2,1.5,1.6,0.8,0.7,1,0.9,0.8,0.8,0.5,0.5,0.5,0.4,0.5
,,TOV,3.5,2.5,3.3,3.1,3.6,3,2.5,2.5,2.7,2.1,2.4,2,2.3,2.7,2.1
,,FG%,51.5,45.7,48.2,53.5,53.8,52.6,53.9,51.9,49.5,41.1,49.5,48.6,46.5,41.6,44.5
,,,,,,,,,,,,,,,,,,,,,,
Lebron James,,,,,,,,,,,,,,,,,,,,,,
,,Year No.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,,Games Played,79,80,79,78,75,81,76,79,62,76,77,69,76,74,82,55,67,45,5
,,PPG,20.9,27.2,31.4,27.3,30,28.4,29.7,26.7,27.1,26.8,27.1,25.3,25.3,26.4,27.5,27.4,25.3,25,23.8
,,RPG,5.5,7.4,7,6.7,7.9,7.6,7.3,7.5,7.9,8,6.9,6,7.4,8.6,8.6,8.5,7.8,7.7,5.8
,,APG,5.9,7.2,6.6,6,7.2,7.2,8.6,7,6.2,7.3,6.3,7.4,6.8,8.7,9.1,8.3,10.2,7.8,6.4
,,SPG,1.6,2.2,1.6,1.6,1.8,1.7,1.6,1.6,1.9,1.7,1.6,1.6,1.4,1.2,1.4,1.3,1.3,1.1,2.4
,,BPG,0.7,0.7,0.8,0.7,1.1,1.1,1,0.6,0.8,0.9,0.3,0.7,0.6,0.6,0.9,0.6,0.5,0.6,1
,,TOV,3.5,3.3,3.3,3.2,3.4,3,3.4,3.6,3.4,3,3.5,3.9,3.3,4.1,4.2,3.6,3.9,3.7,4.2
,,FG%,41.7,47.2,48,47.6,48.4,48.9,50.3,51,53.1,56.5,56.7,48.8,52,54.8,54.2,51,49.3,51.3,43.6
,,,,,,,,,,,,,,,,,,,,,,
Magic Johson,,,,,,,,,,,,,,,,,,,,,,
,,Year No.,1,2,3,4,5,6,7,8,9,10,11,12,13
,,Games Played,77,37,78,79,67,77,72,80,72,77,79,79,32
,,PPG,18,21.6,18.6,16.8,17.6,18.3,18.8,23.9,19.6,22.5,22.3,19.4,14.6
,,RPG,7.7,8.6,9.6,8.6,7.3,6.2,5.9,6.3,6.2,7.9,6.6,7,5.7
,,APG,7.3,8.6,9.5,10.5,13.1,12.6,12.6,12.2,11.9,12.8,11.5,12.5,6.9
,,SPG,2.4,3.4,2.7,2.2,2.2,1.5,1.6,1.7,1.6,1.8,1.7,1.3,0.8
,,BPG,0.5,0.7,0.4,0.6,0.7,0.3,0.2,0.5,0.2,0.3,0.4,0.2,0.4
,,TOV,4,3.9,3.7,3.8,4.6,4,3.8,3.8,3.7,4.1,3.7,4,3.2
,,FG%,53,53.2,53.7,54.8,56.5,56.1,52.6,52.2,49.2,50.9,48,47.7,46.6
,,,,,,,,,,,,,,,,,,,,,,
Larry Bird,,,,,,,,,,,,,,,,,,,,,,
,,Year No.,1,2,3,4,5,6,7,8,9,10,11,12,13
,,Games Played,82,82,77,79,79,80,82,74,76,6,75,60,45
,,PPG,21.3,21.2,22.9,23.6,24.2,28.7,25.8,28.1,29.9,19.3,24.3,19.4,20.2
,,RPG,10.4,10.9,10.9,11,10.1,10.5,9.8,9.2,9.3,6.2,9.5,8.5,9.6
,,APG,4.5,5.5,5.8,5.8,6.6,6.6,6.8,7.6,6.1,4.8,7.5,7.2,6.8
,,SPG,1.7,2,1.9,1.9,1.8,1.6,2,1.8,1.6,1,1.4,1.8,0.9
,,BPG,0.6,0.8,0.9,0.9,0.9,1.2,0.6,0.9,0.8,0.8,0.8,1,0.7
,,TOV,3.2,3.5,3.3,3,3,3.1,3.2,3.2,2.8,1.8,3.2,3.1,2.8
,,FG%,47.4,47.8,50.3,50.4,49.2,52.2,49.6,52.5,52.7,47.1,47.3,45.4,46.6
,,,,,,,,,,,,,,,,,,,,,,
Kareem Jabbar,,,,,,,,,,,,,,,,,,,,,,
,,Year No.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,Games Played,82,82,81,76,81,65,82,82,62,80,82,80,76,79,80,79,79,78,80,74
,,PPG,28.8,31.7,34.8,30.2,27,30,27.7,26.2,25.8,23.8,24.8,26.2,23.9,21.8,21.5,22,23.4,17.5,14.6,10.1
,,RPG,14.5,16,16.6,16.1,14.5,14,16.9,13.3,12.9,12.8,10.8,10.3,8.7,7.5,7.3,7.9,6.1,6.7,6,4.5
,,APG,4.1,3.3,4.6,5,4.8,4.1,5,3.9,4.3,5.4,4.5,3.4,3,2.5,2.6,3.2,3.5,2.6,1.7,1
,,SPG,0,0,0,0,1.4,1,1.5,1.2,1.7,1,1,0.7,0.8,0.8,0.7,0.8,0.8,0.6,0.6,0.5
,,BPG,0,0,0,0,3.5,3.3,4.1,3.2,3,4,3.4,2.9,2.7,2.2,1.8,2.1,1.6,1.2,1.2,1.1
,,TOV,0,0,0,0,0,0,0,0,3.4,3.5,3.6,3.1,3,2.5,2.8,2.5,2.6,2.4,2,1.2
,,FG%,51.8,57.7,57.4,55.4,53.9,51.3,52.9,57.9,55,57.7,60.4,57.4,57.9,58.8,57.8,59.9,56.4,56.4,53.2,47.5
